station_id,station_name,station_type,avg_high_time,avg_low_time,data_delay_minutes,optimal_high_time,optimal_low_time,my_high_time,my_low_time,optimal_high_hour,optimal_high_minute,optimal_low_hour,optimal_low_minute,my_high_hour,my_high_minute,days_analyzed,high_time_std,low_time_std
KPHL,Philadelphia,5-minute,13:47,06:15,15,14:32,07:00,14:32,07:00,14,32,7,0,14,32,2,0.7071067811865476,2.1213203435596424
KMIA,Miami,5-minute,13:17,08:30,15,14:02,08:45,14:02,08:45,14,2,8,45,14,2,2,2.1213203435596424,1.4142135623730951
KNYC,NYC Central Park,hourly,13:51,09:46,60,15:08,11:04,15:08,11:04,15,8,11,4,15,8,7,6.575568054403759,7.889112449325034
KLAX,Los Angeles LAX,5-minute,11:53,04:44,15,12:38,05:29,15:38,08:29,12,38,5,29,15,38,2,0.7071067811865476,0.7071067811865476
KDEN,Denver,5-minute,13:36,02:22,15,13:51,03:07,15:51,05:07,13,51,3,7,15,51,2,0.0,3.5355339059327378
KMDW,Chicago Midway,5-minute,14:32,03:25,15,15:17,03:40,16:17,04:40,15,17,3,40,16,17,2,0.7071067811865476,4.242640687119285
KMSY,New Orleans,5-minute,15:25,12:42,15,16:10,13:27,17:10,14:27,16,10,13,27,17,10,2,0.7071067811865476,14.849242404917497
KAUS,Austin,5-minute,16:25,04:17,15,17:10,04:32,18:10,05:32,17,10,4,32,18,10,2,0.7071067811865476,2.8284271247461903
KSFO,San Francisco,5-minute,16:26,11:42,15,16:41,12:17,19:41,15:17,16,41,12,17,19,41,3,5.0,10.214368964029708
KLAS,Las Vegas,5-minute,15:56,05:55,15,16:11,06:10,19:11,09:10,16,11,6,10,19,11,2,0.0,1.4142135623730951
